Evansville,166,-3916
Santa Clara,-2045,-3279
Abilene,-577,-3369
Athens-Clarke County,411,-3534
Vallejo,-2098,-3324
Allentown,1038,-4014
Norman,-475,-3643
Beaumont,-229,-3184
Independence,-309,-4005
Murfreesboro,234,-3723
Ann Arbor,467,-4260
Springfield,24,-4076
Berkeley,-2088,-3306
Peoria,29,-4153
Provo,-1518,-3824
El Monte,-1677,-3150
Columbia,-163,-4001
Lansing,410,-4303
Fargo,-549,-4617
Downey,-1677,-3136
Costa Mesa,-1652,-3118
Wilmington,748,-3504
Arvada,-1061,-3937
Inglewood,-1690,-3132
Miami Gardens,472,-2746
Carlsbad,-1600,-3095
Westminster,-1058,-3941
Rochester,-191,-4422
Odessa,-719,-3283
Manchester,1381,-4119
Elgin,127,-4264
West Jordan,-1549,-3846
Round Rock,-432,-3205
Clearwater,374,-2964
Waterbury,1232,-4042
Gresham,-2436,-3835
Fairfield,-2092,-3343
Billings,-1448,-4330
Lowell,1382,-4087
San Buenaventura (Ventura),-1751,-3131
Pueblo,-994,-3817
High Point,649,-3684
West Covina,-1672,-3152
Richmond,-2095,-3308
Murrieta,-1610,-3131
Cambridge,1390,-4062
Antioch,-2067,-3333
Temecula,-1604,-3128
Norwalk,-1672,-3135
Centennial,-1042,-3923
Everett,-2522,-4004
Palm Bay,489,-2954
Wichita Falls,-525,-3515
Green Bay,154,-4464
Daly City,-2091,-3286
Burbank,-1697,-3151
Richardson,-406,-3441
Pompano Beach,483,-2774
North Charleston,601,-3403
Broken Arrow,-378,-3731
Boulder,-1078,-3951
West Palm Beach,494,-2821
Santa Maria,-1848,-3147
El Cajon,-1564,-3075
Davenport,-42,-4223
Rialto,-1642,-3172
Las Cruces,-982,-3261
San Mateo,-2076,-3282
Lewisville,-423,-3448
South Bend,276,-4227
Lakeland,419,-2965
Erie,735,-4209
Tyler,-314,-3394
Pearland,-289,-3130
College Station,-358,-3225
Kenosha,163,-4308
Sandy Springs,348,-3539
Clovis,-1892,-3316
Flint,477,-4319
Roanoke,673,-3798
Albany,1207,-4144
Jurupa Valley,-1644,-3160
Compton,-1680,-3130
San Angelo,-602,-3270
Hillsboro,-2475,-3812
Lawton,-528,-3579
Renton,-2503,-3972
Vista,-1596,-3101
Davie,474,-2760
Greeley,-1048,-3995
Mission Viejo,-1637,-3122
Portsmouth,904,-3710
Dearborn,509,-4259
South Gate,-1682,-3135
Tuscaloosa,147,-3486
Livonia,496,-4264
New Bedford,1382,-4000
Vacaville,-2094,-3353
Brockton,1388,-4037
Roswell,350,-3547
Beaverton,-2461,-3818
Quincy,1394,-4050
Sparks,-2012,-3520
Yakima,-2349,-3988
Lee's Summit,-305,-3989
Federal Way,-2503,-3958
Carson,-1680,-3123
Santa Monica,-1700,-3132
Hesperia,-1652,-3200
Allen,-404,-3455
Rio Rancho,-1053,-3521
Yuma,-1434,-3128
Westminster,-1661,-3125
Orem,-1523,-3828
Lynn,1404,-4065
Redding,-2220,-3500
Spokane Valley,-2155,-4187
Miami Beach,475,-2730
League City,-278,-3125
Lawrence,-365,-3990
Santa Barbara,-1784,-3128
Plantation,475,-2764
Sandy,-1541,-3845
Sunrise,475,-2769
Macon,383,-3433
Longmont,-1070,-3967
Boca Raton,485,-2787
San Marcos,-1590,-3099
Greenville,811,-3620
Waukegan,161,-4289
Fall River,1369,-4011
Chico,-2148,-3459
Newton,1382,-4062
San Leandro,-2074,-3300
Reading,1002,-3999
Norwalk,1196,-4015
Fort Smith,-282,-3678
Newport Beach,-1652,-3116
Asheville,480,-3676
Nashua,1374,-4101
Edmond,-483,-3681
Whittier,-1673,-3142
Nampa,-1962,-3925
Bloomington,-258,-4485
Deltona,467,-3043
Hawthorne,-1688,-3128
Duluth,-170,-4640
Carmel,277,-4083
