Bydgoszcz Poland,1188,-1328
Bologna Italy,1072,-2930
Brno Czech Republic,3457,4404
Vinnytsya Vinnyts'ka oblast Ukraine 21000,5367,1053
Florence Italy,-348,1304
Murmansk Murmansk Oblast Russia,101,-768
Ulan-Ude Republic of Buryatia Russia,4502,4506
Wuppertal Germany,3407,4119
Arkhangelsk Arkhangelsk Oblast Russia,-6006,1906
Kurganskaya oblast Russia,3725,-4286
Toulouse France,-296,-2330
Lublin Poland,-4436,-2889
Mogilev Belarus,-1414,2662
Kherson Khersons'ka oblast Ukraine 73009,1080,2787
Palmas de Gran Canaria Spain,-912,-260
Smolensk Smolensk Oblast Russia,-5035,-3703
Bilbao Spain,4126,914
Sevastopol' Sevastopol' city Ukraine 99000,-1936,3241
Murcia Spain,762,-1616
Fife UK,2127,-16
Iaşi Romania,163,-133
Katowice Poland,-3,0
Nice France,-998,-1496
Stavropol Stavropol Krai Russia,-2317,-5077
Constanta Romania,-1130,-430
Oryol Orlovskaya oblast Russia,-167,-2710
Catania Italy,1012,-723
Vitebsk Belarus,-2135,5844
Kaluga Kaluga Oblast Russia,-793,5696
Belgorod Belgorodskaya oblast Russia,963,-1968
Zurich Switzerland,976,-1195
Simferopol' Crimea Ukraine 95000,-4719,2309
Bari,709,1646
Vladimir Vladimirskaya oblast Russia,2343,-1057
Sochi Krasnodarskiy Kray Russia,2011,-2603
Cluj-Napoca Romania,82,-2162
Makhachkala Republic of Dagestan Russia,5016,1929
Galati Romania,-6133,1522
Wirral Merseyside UK,-185,-6
North Lanarkshire UK,2983,-2955
Timisoara Romania,-4550,4270
Cherepovets Vologda Oblast Russia,3288,726
Ostrava Czech Republic,-2222,1391
Bielefeld Germany,-3994,4822
Wakefield West Yorkshire UK,-112,1733
Valladolid Spain,-73,-4623
Saransk Republic of Mordovia Russia,-1682,-4134
Cardiff UK,-5970,223
Braşov Romania,5627,2915
Craiova Romania,532,-2072
Poltava Poltavs'ka oblast Ukraine 36000,3992,-24
Tambov Tambov Oblast Russia,-3365,-2266
Dudley West Midlands UK,-2427,-4336
Wigan UK,769,424
Chita Zabaykal'skiy Kray Russia,5794,2273
Vladikavkaz North Ossetia-Alania Russia,-3974,-3236
East Riding of Yorkshire UK,-1930,1689
Cherkasy Cherkas'ka oblast Ukraine 18000,-3729,-2798
Mannheim Germany,2728,-3691
Cordova Spain,78,1173
South Lanarkshire UK,4606,-2900
Chernihiv Chernihivs'ka oblast Ukraine 14039,5962,-758
Coventry West Midlands UK,273,-5354
Horlivka Donets'ka oblast Ukraine 84601,-5579,-1914
Palma Spain,-5366,2873
Hrodna Belarus,-438,1575
Bonn Germany,1872,2013
Vologda Vologda Oblast Russia,-1712,2347
Varna Municipality Bulgaria,4128,-1565
Venice Italy,6163,-1427
Zhytomyr Zhytomyrs'ka oblast Ukraine 10000,63,25
Belfast UK,-5558,-2023
Sumy Sums'ka oblast Ukraine 40000,-3706,-909
Leicester UK,1853,-4030
Komsomolsk-on-Amur Khabarovsk Krai Russia,631,-1781
Sunderland Tyne and Wear UK,-1181,6244
