New York,1145,3994
Los Angeles,-1688,3142
Chicago,175,4249
Houston,-295,3148
Philadelphia,1047,3954
Phoenix,-1319,3254
San Antonio,-462,3095
San Diego,-1571,3063
Dallas,-408,3424
San Jose,-2041,3281
Austin,-432,3181
Indianapolis,273,4066
Jacksonville,466,3183
San Francisco,-2092,3294
Columbus,498,4061
Charlotte,584,3628
Fort Worth,-439,3418
Detroit,519,4258
El Paso,-949,3217
Memphis,-3,3667
Seattle,-2516,3975
Denver,-1053,3934
Washington,897,3899
Boston,1393,4060
Nashville-Davidson,211,3753
Baltimore,934,3924
Oklahoma City,-483,3664
Louisville/Jefferson County,291,3933
Portland,-2454,3826
Las Vegas,-1597,3403
Milwaukee,158,4345
Albuquerque,-1046,3509
Tucson,-1213,3172
Fresno,-1892,3308
Sacramento,-2075,3387
Long Beach,-1673,3121
Kansas City,-320,4005
Mesa,-1304,3256
Virginia Beach,925,3707
Atlanta,346,3522
Colorado Springs,-1021,3862
Omaha,-438,4177
Raleigh,733,3651
Miami,471,2728
Oakland,-2085,3301
Minneapolis,-256,4495
Tulsa,-392,3738
Cleveland,609,4177
Wichita,-497,3863
Arlington,-426,3418
